snapshot_month,state,dealer_count
2023-03-01,Georgia,6
2023-03-01,Hawaii,5
2023-03-01,Idaho,1
2023-03-01,Illinois,13
2023-03-01,Indiana,4
2023-03-01,Iowa,1
2023-03-01,Kansas,1
2023-03-01,Kentucky,2
2023-03-01,Louisiana,8
2023-03-01,Maine,1
2023-03-01,Maryland,3
2023-03-01,Massachusetts,7
2023-03-01,Michigan,9
2023-03-01,Minnesota,6
2023-03-01,Mississippi,2
2023-03-01,Missouri,6
2023-03-01,Montana,1
2023-03-01,Nebraska,1
2023-03-01,Nevada,6
2023-03-01,New Hampshire,2
2023-03-01,New Jersey,8
2023-03-01,New Mexico,1
2023-03-01,New York,22
2023-03-01,North Carolina,9
2023-03-01,North Dakota,1
2023-03-01,Ohio,9
2023-03-01,Oklahoma,4
2023-03-01,Oregon,4
2023-03-01,Pennsylvania,13
2023-03-01,Rhode Island,1
2023-03-01,South Carolina,5
2023-03-01,Tennessee,5
2023-03-01,Texas,25
2023-03-01,Utah,2
2023-03-01,Vermont,1
2023-03-01,Virginia,8
2023-03-01,Washington,5
2023-03-01,Wisconsin,4
2023-04-01,Alabama,3
2023-04-01,Alaska,1
2023-04-01,Arizona,4
2023-04-01,Arkansas,3
2023-04-01,California,33
2023-04-01,Colorado,6
2023-04-01,Columbia,1
2023-04-01,Connecticut,7
2023-04-01,Delaware,2
2023-04-01,Florida,27
2023-04-01,Georgia,6
2023-04-01,Hawaii,5
2023-04-01,Idaho,1
2023-04-01,Illinois,13
2023-04-01,Indiana,4
2023-04-01,Iowa,1
2023-04-01,Kansas,1
2023-04-01,Kentucky,2
2023-04-01,Louisiana,8
2023-04-01,Maine,1
2023-04-01,Maryland,3
2023-04-01,Massachusetts,7
2023-04-01,Michigan,9
2023-04-01,Minnesota,6
2023-04-01,Mississippi,2
2023-04-01,Missouri,6
2023-04-01,Montana,1
2023-04-01,Nebraska,1
2023-04-01,Nevada,6
2023-04-01,New Hampshire,2
2023-04-01,New Jersey,8
2023-04-01,New Mexico,1
2023-04-01,New York,21
2023-04-01,North Carolina,9
2023-04-01,North Dakota,1
2023-04-01,Ohio,9
2023-04-01,Oklahoma,4
2023-04-01,Oregon,4
2023-04-01,Pennsylvania,13
2023-04-01,Rhode Island,1
2023-04-01,South Carolina,5
2023-04-01,Tennessee,5
2023-04-01,Texas,25
2023-04-01,Utah,2
2023-04-01,Vermont,1
2023-04-01,Virginia,8
2023-04-01,Washington,5
2023-04-01,Wisconsin,4
2023-05-01,Alabama,3
2023-05-01,Alaska,1
2023-05-01,Arizona,4
2023-05-01,Arkansas,3
2023-05-01,California,33
2023-05-01,Colorado,6
2023-05-01,Columbia,1
2023-05-01,Connecticut,7
2023-05-01,Delaware,2
2023-05-01,Florida,27
2023-05-01,Georgia,6
2023-05-01,Hawaii,5
2023-05-01,Idaho,1
2023-05-01,Illinois,13
2023-05-01,Indiana,4
2023-05-01,Iowa,1
2023-05-01,Kansas,1
2023-05-01,Kentucky,2
2023-05-01,Louisiana,8
2023-05-01,Maine,1
2023-05-01,Maryland,3
2023-05-01,Massachusetts,7
2023-05-01,Michigan,9
2023-05-01,Minnesota,6
2023-05-01,Mississippi,2
2023-05-01,Missouri,6
2023-05-01,Montana,1
2023-05-01,Nebraska,1
2023-05-01,Nevada,6
2023-05-01,New Hampshire,2
2023-05-01,New Jersey,8
2023-05-01,New Mexico,1
2023-05-01,New York,21
2023-05-01,North Carolina,9
2023-05-01,North Dakota,1
2023-05-01,Ohio,9
2023-05-01,Oklahoma,4
2023-05-01,Oregon,4
2023-05-01,Pennsylvania,13
2023-05-01,Rhode Island,1
2023-05-01,South Carolina,5
2023-05-01,Tennessee,5
2023-05-01,Texas,25
2023-05-01,Utah,2
2023-05-01,Vermont,1
2023-05-01,Virginia,8
2023-05-01,Washington,5
2023-05-01,Wisconsin,4
2023-06-01,Alabama,3
2023-06-01,Alaska,1
2023-06-01,Arizona,4
2023-06-01,Arkansas,3
2023-06-01,California,33
2023-06-01,Colorado,6
2023-06-01,Columbia,1
2023-06-01,Connecticut,7
2023-06-01,Delaware,2
2023-06-01,Florida,27
2023-06-01,Georgia,6
2023-06-01,Hawaii,4
2023-06-01,Idaho,1
2023-06-01,Illinois,13
2023-06-01,Indiana,4
2023-06-01,Iowa,1
2023-06-01,Kansas,1
2023-06-01,Kentucky,2
2023-06-01,Louisiana,8
2023-06-01,Maine,1
2023-06-01,Maryland,3
2023-06-01,Massachusetts,7
2023-06-01,Michigan,9
2023-06-01,Minnesota,6
2023-06-01,Mississippi,2
2023-06-01,Missouri,6
2023-06-01,Montana,1
2023-06-01,Nebraska,1
2023-06-01,Nevada,6
2023-06-01,New Hampshire,2
2023-06-01,New Jersey,8
2023-06-01,New Mexico,1
2023-06-01,New York,21
2023-06-01,North Carolina,9
2023-06-01,North Dakota,1
2023-06-01,Ohio,9
2023-06-01,Oklahoma,4
2023-06-01,Oregon,4
2023-06-01,Pennsylvania,13
2023-06-01,Rhode Island,1
2023-06-01,South Carolina,5
2023-06-01,Tennessee,5
2023-06-01,Texas,25
2023-06-01,Utah,2
2023-06-01,Vermont,1
2023-06-01,Virginia,8
2023-06-01,Washington,5
2023-06-01,Wisconsin,4
2023-07-01,Alabama,3
2023-07-01,Alaska,1
2023-07-01,Arizona,4
2023-07-01,Arkansas,3
2023-07-01,California,33
2023-07-01,Colorado,6
2023-07-01,Columbia,1
2023-07-01,Connecticut,7
2023-07-01,Delaware,2
2023-07-01,Florida,27
2023-07-01,Georgia,6
2023-07-01,Hawaii,3
2023-07-01,Idaho,1
2023-07-01,Illinois,13
2023-07-01,Indiana,4
2023-07-01,Iowa,1
2023-07-01,Kansas,1
2023-07-01,Kentucky,2
2023-07-01,Louisiana,8
2023-07-01,Maine,1
2023-07-01,Maryland,3
2023-07-01,Massachusetts,7
2023-07-01,Michigan,9
2023-07-01,Minnesota,6
2023-07-01,Mississippi,2
2023-07-01,Missouri,6
2023-07-01,Montana,1
2023-07-01,Nebraska,1
2023-07-01,Nevada,6
2023-07-01,New Hampshire,2
2023-07-01,New Jersey,9
2023-07-01,New Mexico,1
2023-07-01,New York,21
2023-07-01,North Carolina,9
2023-07-01,North Dakota,1
2023-07-01,Ohio,9
2023-07-01,Oklahoma,4
2023-07-01,Oregon,4
2023-07-01,Pennsylvania,13
2023-07-01,Rhode Island,1
2023-07-01,South Carolina,5
2023-07-01,Tennessee,5
2023-07-01,Texas,25
2023-07-01,Utah,2
2023-07-01,Vermont,1
2023-07-01,Virginia,8
2023-07-01,Washington,5
2023-07-01,Wisconsin,4
2023-08-01,Alabama,3
2023-08-01,Alaska,1
2023-08-01,Arizona,4
2023-08-01,Arkansas,3
2023-08-01,California,33
2023-08-01,Colorado,6
2023-08-01,Columbia,1
2023-08-01,Connecticut,7
2023-08-01,Delaware,2
2023-08-01,Florida,26
2023-08-01,Georgia,6
2023-08-01,Hawaii,3
2023-08-01,Idaho,1
2023-08-01,Illinois,13
2023-08-01,Indiana,4
2023-08-01,Iowa,1
2023-08-01,Kansas,1
2023-08-01,Kentucky,2
2023-08-01,Louisiana,8
2023-08-01,Maine,1
2023-08-01,Maryland,3
2023-08-01,Massachusetts,7
2023-08-01,Michigan,9
2023-08-01,Minnesota,6
2023-08-01,Mississippi,2
2023-08-01,Missouri,6
2023-08-01,Montana,1
2023-08-01,Nebraska,1
2023-08-01,Nevada,6
2023-08-01,New Hampshire,2
2023-08-01,New Jersey,9
2023-08-01,New Mexico,1
2023-08-01,New York,21
2023-08-01,North Carolina,9
2023-08-01,North Dakota,1
2023-08-01,Ohio,9
2023-08-01,Oklahoma,4
2023-08-01,Oregon,4
2023-08-01,Pennsylvania,13
2023-08-01,Rhode Island,1
2023-08-01,South Carolina,5
2023-08-01,Tennessee,5
2023-08-01,Texas,25
2023-08-01,Utah,2
2023-08-01,Vermont,1
2023-08-01,Virginia,7
2023-08-01,Washington,5
2023-08-01,Wisconsin,4
2023-09-01,Alabama,3
2023-09-01,Alaska,1
2023-09-01,Arizona,4
2023-09-01,Arkansas,3
2023-09-01,California,33
2023-09-01,Colorado,5
2023-09-01,Columbia,1
2023-09-01,Connecticut,7
2023-09-01,Delaware,2
2023-09-01,Florida,27
2023-09-01,Georgia,6
2023-09-01,Hawaii,4
2023-09-01,Idaho,1
2023-09-01,Illinois,13
2023-09-01,Indiana,4
2023-09-01,Iowa,1
2023-09-01,Kansas,1
2023-09-01,Kentucky,2
2023-09-01,Louisiana,8
2023-09-01,Maine,1
2023-09-01,Maryland,3
2023-09-01,Massachusetts,7
2023-09-01,Michigan,9
2023-09-01,Minnesota,6
2023-09-01,Mississippi,2
2023-09-01,Missouri,6
2023-09-01,Montana,1
2023-09-01,Nebraska,1
2023-09-01,Nevada,6
2023-09-01,New Hampshire,2
2023-09-01,New Jersey,9
2023-09-01,New Mexico,1
2023-09-01,New York,21
2023-09-01,North Carolina,9
2023-09-01,North Dakota,1
2023-09-01,Ohio,9
2023-09-01,Oklahoma,4
2023-09-01,Oregon,4
2023-09-01,Pennsylvania,13
2023-09-01,Rhode Island,1
2023-09-01,South Carolina,5
2023-09-01,Tennessee,5
2023-09-01,Texas,25
2023-09-01,Utah,2
2023-09-01,Vermont,1
2023-09-01,Virginia,7
2023-09-01,Washington,5
2023-09-01,Wisconsin,4
2023-10-01,Alabama,3
2023-10-01,Alaska,1
2023-10-01,Arizona,4
2023-10-01,Arkansas,3
2023-10-01,California,33
2023-10-01,Colorado,6
2023-10-01,Columbia,1
2023-10-01,Connecticut,7
2023-10-01,Delaware,2
2023-10-01,Florida,27
2023-10-01,Georgia,6
2023-10-01,Hawaii,4
2023-10-01,Idaho,1
2023-10-01,Illinois,13
2023-10-01,Indiana,4
2023-10-01,Iowa,1
2023-10-01,Kentucky,2
2023-10-01,Louisiana,8
2023-10-01,Maine,1
2023-10-01,Maryland,3
2023-10-01,Massachusetts,7
2023-10-01,Michigan,9
2023-10-01,Minnesota,5
2023-10-01,Mississippi,2
2023-10-01,Missouri,6
2023-10-01,Montana,1
2023-10-01,Nebraska,1
2023-10-01,Nevada,6
2023-10-01,New Hampshire,2
2023-10-01,New Jersey,9
2023-10-01,New Mexico,1
2023-10-01,New York,21
2023-10-01,North Carolina,9
2023-10-01,North Dakota,1
2023-10-01,Ohio,9
2023-10-01,Oklahoma,4
2023-10-01,Oregon,4
2023-10-01,Pennsylvania,13
2023-10-01,Rhode Island,1
2023-10-01,South Carolina,5
2023-10-01,Tennessee,5
2023-10-01,Texas,25
2023-10-01,Utah,2
2023-10-01,Vermont,1
2023-10-01,Virginia,7
2023-10-01,Washington,5
2023-10-01,Wisconsin,4
